sku,nombre,material,horma,falda,categoria
W8E01-10,BANGORA 6 RANDAS,BANGORA 6 RANDAS,HORMA DOBLE S,FALDA 10 CM,BANGORA
W16C01-10,BANGORA CHINO GLAZ ROMBOS,BANGORA CHINO GLAZ ROMBOS,HORMA DOBLE S,FALDA 10 CM,BANGORA
W10A01-10,BANGORA FINO - 6 X 5.5 X 5.5,BANGORA FINO - 6 X 5.5 X 5.5,HORMA DOBLE S,FALDA 10 CM,BANGORA
W23801-10,BANGORA IVORY Y CAFÉ,BANGORA IVORY Y CAFÉ,HORMA DOBLE S,FALDA 10 CM,BANGORA
W14E01-10,BANGORA RANDA PUNTOS,BANGORA RANDA PUNTOS,HORMA DOBLE S,FALDA 10 CM,BANGORA
W14A01-10,BANGORA TAN FLECHAS,CHINO GLAZ IVORY 5BU 2X2,HORMA DOBLE S,FALDA 10 CM,CHINO
W3401-10,BANGORA ZIGZAG,CHINO GLAZ G3 2X2,HORMA DOBLE S,FALDA 10 CM,CHINO
W4201-10,JAP G2 1X1,JAP G2 1X1,HORMA DOBLE S,FALDA 10 CM,JAP
W4401-10,JAP G2 2X2,JAP G2 2X2,HORMA DOBLE S,FALDA 10 CM,JAP
W4901-10,JAP G3 2X2,JAP G3 2X2,HORMA DOBLE S,FALDA 10 CM,JAP
W5001-10,JAP G3 2X2 RANDADO,JAP G3 2X2 RANDADO,HORMA DOBLE S,FALDA 10 CM,JAP
W5901-10,JAP G5 2X2  6X5X6,JAP G5 2X2  6X5X6,HORMA DOBLE S,FALDA 10 CM,JAP
W7501-10,JAP G5 2X2 RAN TT,JAP G5 2X2 RAN TT,HORMA DOBLE S,FALDA 10 CM,JAP
W33901-10,JAP G5 2X2 RANDA PUNTOS,JAP G5 2X2 RANDA PUNTOS,HORMA DOBLE S,FALDA 10 CM,JAP
W172C01-10,JAP G5 2X2 TRIPLE RANDA,JAP G5 2X2 TRIPLE RANDA,HORMA DOBLE S,FALDA 10 CM,JAP
W16101-10,JAP G5 2X2 RANDA LÍNEA Y ROMBOS,JAP G5 2X2 RANDA LÍNEA Y ROMBOS,HORMA DOBLE S,FALDA 10 CM,JAP
W9901-10,JAP G5 2X2 WILDFIRE,JAP G5 2X2 WILDFIRE,HORMA DOBLE S,FALDA 10 CM,JAP
W17501-10,JAP G5 3X3 PAPER VENT,JAP G5 3X3 PAPER VENT,HORMA DOBLE S,FALDA 10 CM,JAP
W153A01-10,TELAR 2BU 1X1 G14 BLANCO,TELAR 2BU 1X1 G14 BLANCO,HORMA DOBLE S,FALDA 10 CM,TELAR
W131A01-10,SISOL 3X3,SISOL 3X3,HORMA DOBLE S,FALDA 10 CM,SISOL
W11201-10,LANA CHOCO 210 GR,LANA NATURAL 210 GR,HORMA DOBLE S,FALDA 10 CM,LANA
W12101-10.5,CASHMERE GRIS 220 GR,CASHMERE SILVER BELLY  220 GR,HORMA DOBLE S,FALDA 10.5 CM,CASHMERE
W10A03-11,BANGORA FINO - 6 X 5.5 X 5.5,BANGORA FINO - 6 X 5.5 X 5.5,HORMA RESISTOL,FALDA 11 CM,BANGORA
D8D03-11,BANGORA DOBLE RANDA TT,BANGORA DOBLE RANDA TT,HORMA RESISTOL,FALDA 11 CM,BANGORA
